Marca temporal,¿En qué curso académico te encuentras?,¿Cuál es tu situación con respecto al TFG/TFM?,¿Consideras que las metodologías ágiles pueden mejorar la gestión y el desarrollo de un TFG/TFM?,"En un TFG/TFM con interacciones limitadas con el tutor, una metodología ágil permitiría un mejor seguimiento del progreso del proyecto.","¿Consideras que los TFG/TFM deberían adaptarse a un enfoque ágil, similar a los proyectos de desarrollo de software?",¿Qué tipo de interacciones prefieres tener con tu tutor durante el desarrollo de tu TFG/TFM?,¿Cuántas interacciones mensuales consideras suficientes entre alumno y tutor para el desarrollo adecuado del TFG/TFM?,"¿Te gustaría que las interacciones con el tutor fueran menos frecuentes, con un enfoque más autónomo y flexible?",¿Qué herramientas crees que serían útiles para implementar una metodología ágil en el desarrollo de TFG/TFM?,¿Estarías dispuesto a utilizar herramientas ágiles (como Jira o Trello) para gestionar el progreso de tu TFG/TFM?,¿Cuánto tiempo semanal consideras adecuado dedicar al seguimiento del proyecto de TFG/TFM?,¿Consideras que una metodología definida es necesaria para el desarrollo de un TFG/TFM?,¿Qué mejoras crees que una metodología ágil podría aportar al desarrollo de tu TFG/TFM?,¿Qué recomendaciones tienes para mejorar el proceso de seguimiento de tu TFG/TFM mediante una metodología ágil?,¿Estás familiarizado/a con metodologías ágiles?,¿Qué tipo de entregas prefieres realizar en tu TFG/TFM?,¿Cómo debería estructurarse el plan de trabajo del TFG/TFM?, ¿Qué nivel de documentación consideras adecuado?  ,¿Cómo prefieres recibir retroalimentación del tutor?,¿Qué prioridad darías a que el proyecto permita cambios sobre el diseño inicial?,¿Qué metodologías ágiles has utilizado o conoces?,"¿Te gustaría comentar tu experiencia o sugerir medidas que crees que podrían haber mejorado la organización o el desarrollo de tu TFG/TFM? (opcional)
(Por ejemplo: herramientas, tipo de apoyo del tutor, planificación, etc.)",Columna 24,Columna 25
11/12/2024 10:10:17,Máster,"Estoy matriculado/a, pero aún no he presentado mi TFG/TFM",4,,4,"Combinar interacciones asincrónicas y síncronas (videollamadas, reuniones)",1 o menos interacciones,,"Herramientas de control de versiones (Ej. GitHub, GitLab), Herramientas de documentación (Ej. Google Docs, Notion)",Tal vez,Más de 5 horas,"Sí, creo que puede ayudar algo.",,,Sí,,,,,,SCRUM,,,
11/12/2024 17:41:06,Máster,"Estoy matriculado/a, pero aún no he presentado mi TFG/TFM",4,,5,"Combinar interacciones asincrónicas y síncronas (videollamadas, reuniones)",4 interacciones,,"Herramientas de control de versiones (Ej. GitHub, GitLab), Herramientas de comunicación (Ej. Slack, Microsoft Teams), Herramientas de documentación (Ej. Google Docs, Notion)",Sí,1-2 horas,"Sí, creo que puede ayudar algo.",,,Sí,,,,,,"Conozco Scrum y Kanban principalmente, pero no he utilizado ninguna","la realización de mi tfg creo que podria haber mejorado con una mejor planificación y una mejor comunicación con los tutores, ya que apenas nos reuniamos/comunicabamos 1 o 2 veces al mes",,
11/12/2024 19:37:22,Máster,"Estoy matriculado/a, pero aún no he presentado mi TFG/TFM",3,,4,"Combinar interacciones asincrónicas y síncronas (videollamadas, reuniones)",2 interacciones,,"Herramientas de gestión de proyectos (Ej. Jira, Trello), Herramientas de control de versiones (Ej. GitHub, GitLab), Herramientas de comunicación (Ej. Slack, Microsoft Teams), Herramientas de documentación (Ej. Google Docs, Notion)",Sí,1-2 horas,"Sí, creo que puede ayudar algo.",,,Sí,,,,,,scrum,,,
13/12/2024 21:32:10,Máster,"Estoy matriculado/a, pero aún no he presentado mi TFG/TFM",3,,2,"Combinar interacciones asincrónicas y síncronas (videollamadas, reuniones)",4 interacciones,,"Herramientas de control de versiones (Ej. GitHub, GitLab), Herramientas de comunicación (Ej. Slack, Microsoft Teams), Herramientas de documentación (Ej. Google Docs, Notion)","No, prefiero otros métodos más tradicionales",Más de 5 horas,"Sí, creo que puede ayudar algo.",,,Sí,,,,,,"Scrum, Kanban",,,
14/12/2024 10:07:44,4º de Grado,"Estoy matriculado/a, pero aún no he presentado mi TFG/TFM",3,,4,"Combinar interacciones asincrónicas y síncronas (videollamadas, reuniones)",4 interacciones,,"Herramientas de gestión de proyectos (Ej. Jira, Trello), Herramientas de control de versiones (Ej. GitHub, GitLab), Herramientas de comunicación (Ej. Slack, Microsoft Teams), Herramientas de documentación (Ej. Google Docs, Notion)",Sí,1-2 horas,"No, el trabajo puede hacerse perfectamente sin metodología definida.",,,Sí,,,,,,"SCRUM, XProgramming","Planificación general desde el momento de asignación de la línea y que, por parte de los profesores, haya una especificación precisa de tareas a llevar a cabo y objetivo final del TF, para no perder tiempo en la definición ",,
14/12/2024 12:51:34,4º de Grado,"Estoy matriculado/a, pero aún no he presentado mi TFG/TFM",1,,5,"Combinar interacciones asincrónicas y síncronas (videollamadas, reuniones)",3 interacciones,,"Herramientas de control de versiones (Ej. GitHub, GitLab)","No, prefiero otros métodos más tradicionales",3-5 horas,"No, el trabajo puede hacerse perfectamente sin metodología definida.",,,Sí,,,,,,Scrum,,,
14/12/2024 15:00:48,Máster,Aún no estoy matriculado/a en el TFG/TFM,4,,4,"Combinar interacciones asincrónicas y síncronas (videollamadas, reuniones)",4 interacciones,,"Herramientas de gestión de proyectos (Ej. Jira, Trello), Herramientas de control de versiones (Ej. GitHub, GitLab), Herramientas de comunicación (Ej. Slack, Microsoft Teams), Herramientas de documentación (Ej. Google Docs, Notion)",Tal vez,1-2 horas,"Sí, creo que puede ayudar algo.",,,Sí,,,,,,Scrum,,,
15/12/2024 0:41:52,3º de Grado,Aún no estoy matriculado/a en el TFG/TFM,,,,"Combinar interacciones asincrónicas y síncronas (videollamadas, reuniones)",Más de 4 interacciones,,"Herramientas de gestión de proyectos (Ej. Jira, Trello), Herramientas de control de versiones (Ej. GitHub, GitLab), Herramientas de comunicación (Ej. Slack, Microsoft Teams), Herramientas de documentación (Ej. Google Docs, Notion)",Sí,3-5 horas,"Sí, creo que puede ayudar algo.",,,No,Entregas pequeñas y recurrentes,"Plan flexible, con posibilidad de ajustes según el progreso",Esencial y centrada en lo necesario para el desarrollo,,Alta prioridad (el proyecto debería estar preparado para cambios),,,,
17/12/2024 18:36:17,4º de Grado,"Estoy matriculado/a, pero aún no he presentado mi TFG/TFM",5,,5,"Combinar interacciones asincrónicas y síncronas (videollamadas, reuniones)",2 interacciones,,"Herramientas de gestión de proyectos (Ej. Jira, Trello), Herramientas de control de versiones (Ej. GitHub, GitLab), Herramientas de documentación (Ej. Google Docs, Notion)",Tal vez,1-2 horas,"Sí, creo que es imprescindible.",,,Sí,,,,,,"SCRUM, KANVAN, JIRA, MICROSOFT PROJECT, DOORS","He realizado prácticas y  trabajado en múltiples ámbitos tanto dentro como fuera de la informática. En todos ellos me he dado cuenta de lo vital de tener bien definidas unas metas y organizar el trabajo. De lo contrario, es todo un caos y al final no sale nada adelante, o son cosas muy puntuales y con el tiempo justo.",,
4/01/2025 13:23:29,4º de Grado,Ya he presentado mi TFG/TFM,4,,4,"Combinar interacciones asincrónicas y síncronas (videollamadas, reuniones)",4 interacciones,,"Herramientas de gestión de proyectos (Ej. Jira, Trello), Herramientas de control de versiones (Ej. GitHub, GitLab), Herramientas de comunicación (Ej. Slack, Microsoft Teams), Herramientas de documentación (Ej. Google Docs, Notion)",Tal vez,1-2 horas,"Sí, creo que puede ayudar algo.",,,Sí,,,,,,Scrum,,,
,,,"3,526315789",,"3,736842105",,,,,,,,,,,,,,,,,,,
,,,67,,,,,,,,,,,,,,,,,,,,,
